Composition of mouse pancreatic cancer gene modules.,,,,
,,,,
Cycle,Stress,Interferon,Hypoxia,Glandular
Hmgb2,2810474O19Rik,H2-K1,Mt1,Rbp4
Top2a,5430416N02Rik,Bst2,Ero1l,Plac8
Ube2c,Ahr,Ifitm3,Mt2,Clu
Cenpf,Areg,B2m,Igfbp3,Gsta4
Smc4,Arf6,H2-D1,Bnip3,Wfdc2
Pclaf,Atf3,Isg15,Ankrd37,Tm4sf4
Birc5,Atf4,Gbp2,Egln1,Basp1
Mki67,Atp6v1b2,Stat1,Itpk1,Ly6a
Cks1b,AY036118,Ccl2,Nrn1,Selenop
Cenpe,Btg2,Zbp1,Lgals3,Lgals2
H2afz,Csrnp1,Ifit1,Bsg,Cotl1
Dbf4,Cyr61,H2-T22,Lrrfip1,Onecut2
Stmn1,Ddit3,Ifi204,Slc2a1,Cdh17
Prc1,Dnaja1,Rnf213,Hist1h2bc,Krt8
Ube2s,Dusp1,Irgm1,Pfkp,Krt18
Cks2,Dusp5,Tap1,Gapdh,Atp1b1
Tpx2,Egr1,Gbp7,Bnip3l,Fermt1
Cdk1,Epb41l4aos,Psmb9,Pgk1,
Ccdc34,Ereg,Vcam1,Jag1,
Atad2,Errfi1,Xaf1,Ndrg1,
Dek,Fam107b,Gbp3,Higd1a,
Smc2,Fam133b,Igtp,Plod2,
Anln,Fam84a,Ifit3,Vldlr,
Cenpa,Fos,Apol9a,Mgarp,
Kif20a,Fosb,Rtp4,Fam162a,
Tubb5,Ftl1,Tapbp,Sox2,
Gmnn,Gm26917,Psmb10,Mxi1,
Selenoh,Gm42418,Samhd1,Kbtbd11,
Ccna2,Has2,Ifi44,,
Dut,Hes1,Ddx58,,
Racgap1,Hnrnpc,Trim25,,
Mcm3,Hsp90aa1,H2-T23,,
Hmmr,Hspa1a,Oasl2,,
Hist1h1b,Hspa1b,Mndal,,
Ccnb1,Hspb1,Iigp1,,
Kif20b,Hspe1,Irf7,,
Hells,Hsph1,Irf1,,
Kif11,Ier2,Irf9,,
H2afx,Ier3,Dtx3l,,
Ect2,Ier5,Usp18,,
Cdca8,Ifrd1,Parp14,,
Knstrn,Jun,Ly6e,,
Plk4,Junb,AA467197,,
Mcm7,Jund,Lgals3bp,,
Tuba1b,Klf2,Herc6,,
Ccnb2,Klf4,Samd9l,,
Tubb4b,Klf5,Ifi203,,
Kif23,Klf6,Stat2,,
Nucks1,Lars2,,,
Incenp,Neat1,,,
Uhrf1,Nfkbia,,,
Mcm5,Nr1d1,,,
Cdc20,Nr4a1,,,
Sgo2a,Nr4a2,,,
Cdca3,Phlda1,,,
H1f0,Ptgs2,,,
Tyms,Rhob,,,
Ncapg2,Sgk1,,,
Tk1,Snhg12,,,
Ran,Snhg6,,,
Arhgap11a,Sox4,,,
Pbk,Sox9,,,
Aspm,Tcim,,,
Ezh2,Tra2a,,,
Ckap2,,,,
Nusap1,,,,
Arl6ip1,,,,
Ncapd2,,,,
Lig1,,,,
Rrm2,,,,
Pimreg,,,,
Dtl,,,,
Fam111a,,,,
Trim59,,,,
Cep55,,,,
Orc6,,,,
Dhfr,,,,
Tacc3,,,,
Knl1,,,,
Bub1,,,,
Hist1h1e,,,,
Aurka,,,,
Ranbp1,,,,
Dlgap5,,,,
Esco2,,,,
Cdkn3,,,,
Neto2,,,,
Mcm2,,,,
Aurkb,,,,
Usp1,,,,
Clspn,,,,
Zfp367,,,,
Nek2,,,,
Ckap2l,,,,
Gas2l3,,,,
Rbm3,,,,
Plk1,,,,
Hist1h2ae,,,,
Prr11,,,,
Depdc1a,,,,
Slfn9,,,,
Cdt1,,,,
Fbxo5,,,,