gene,perturb,mean
TCF7L2,activate,-0.250532788
EGR1,activate,-0.228384729
RORB,activate,-0.22053462
RORB,knockdown,-0.211837837
MEIS2,knockdown,-0.20535251
MEIS2,activate,-0.19629081
ZEB1,knockdown,-0.195960698
TCF7L2,knockdown,-0.191757355
NFIA,knockdown,-0.190471635
RORA,activate,-0.187112393
TBX15,activate,-0.175092876
EGR1,knockdown,-0.171282141
FOXO3,knockdown,-0.162105096
NFIA,activate,-0.153277983
TCF4,activate,-0.15241226
NFIX,knockdown,-0.151117381
STAT1,knockdown,-0.151116186
ASCL1,activate,-0.148075041
NFATC2,activate,-0.145931265
PRDM16,knockdown,-0.145766808
TCF4,knockdown,-0.13940962
SMAD3,knockdown,-0.137138712
ZEB1,activate,-0.136020813
EHF,knockdown,-0.131001328
ASCL1,knockdown,-0.130640508
PPARG,knockdown,-0.130146313
RORA,knockdown,-0.124855138
CUX1,knockdown,-0.124330328
SOX9,knockdown,-0.122270442
REST,knockdown,-0.120220942
FOS,knockdown,-0.116808886
TBX15,knockdown,-0.116417179
PROX1,activate,-0.111898185
HSF2,activate,-0.111562349
FOXO3,activate,-0.108383039
CUX2,activate,-0.107902468
JUNB,knockdown,-0.104790242
PROX1,knockdown,-0.101428234
SIX4,activate,-0.097697298
SIX1,activate,-0.096831813
NFATC2,knockdown,-0.096506576
PKNOX2,activate,-0.092707989
JUNB,activate,-0.091025044
SP100,knockdown,-0.077946657
ESR1,knockdown,-0.068145403
FOS,activate,-0.067744597
EHF,activate,-0.059565858
RARB,knockdown,-0.058887659
NFIX,activate,-0.057220426
ZBTB18,knockdown,-0.055415459
JUND,knockdown,-0.05440124
GRHL2,knockdown,-0.053613502
PRDM16,activate,-0.050571467
CUX2,knockdown,-0.048960288
SOX9,activate,-0.044272887
JUN,activate,-0.043024489
REST,activate,-0.039887859
ESR1,activate,-0.037327515
SIX4,knockdown,-0.036142773
HSF2,knockdown,-0.030429665
JUN,knockdown,-0.029634162
NR3C2,activate,-0.028000641
TEAD1,knockdown,-0.024718663
SP100,activate,-0.023683613
CREB1,activate,-0.021552073
RUNX1,knockdown,-0.020044157
NR3C2,knockdown,-0.019188105
RUNX1,activate,-0.017150359
LMX1B,knockdown,-0.013494318
SIX1,knockdown,-0.008943703
CUX1,activate,-0.008927124
ZBTB7A,knockdown,-0.008858087
ZBTB20,knockdown,-0.00884013
PBX1,knockdown,-0.007785072
NFKB1,activate,-0.004760013
ZBTB20,activate,-0.003834589
ZBTB18,activate,-0.003425883
PPARG,activate,-0.001006915
LMX1B,activate,-0.000911004
PBX1,activate,-0.000662237
ETS1,knockdown,-0.000214009
KMT2A,knockdown,0.00070215
ZBTB7A,activate,0.001256952
TEAD1,activate,0.001332825
NFKB1,knockdown,0.003089699
RARB,activate,0.003151202
NFIB,activate,0.0070332
NFIB,knockdown,0.007510913
KMT2A,activate,0.008435833
ETS1,activate,0.01322027
TCF12,activate,0.015127724
PKNOX2,knockdown,0.015712173
SMAD3,activate,0.016225462
TCF12,knockdown,0.025741282
CREB1,knockdown,0.027479766
JUND,activate,0.031405187
STAT1,activate,0.044041801
GRHL2,activate,0.046992388